,date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude
4493,2004-10-25 04:21:00,m. fokani/hims (syria),,Other,sphere,120.0,2 min,Cold blue light,11/3/2005,34.809422,37.094261
66662,2005-08-15 05:12:00,o&#39fallon,mo,USA,triangle,240.0,4 minutes,It was triangular shaped with two large circular lights centered across the craft.,9/15/2005,38.8105556,-90.6997222
39888,2007-04-30 19:00:00,decatur (atlanta suburb),ga,USA,sphere,1200.0,15-20 minutes,Small silver sphere motionless in blue sky.,6/12/2007,33.7747222,-84.2963889
79099,2003-09-04 21:00:00,forestville,ca,USA,fireball,180.0,3 min,Two lights in eastern sky.,9/9/2003,38.4736111,-122.8891667
29479,2009-02-05 21:35:00,pittsburg,ca,USA,oval,30.0,30 seconds,I&#39ve never seen anything like it.,3/19/2009,38.0280556,-121.8836111
56675,1979-07-15 14:00:00,fairmount,in,USA,cigar,360.0,about 5-6 minutes,Cigar shaped craft - similar sighting listed in same area,10/20/2005,40.4152778,-85.6505556
74514,1934-09-15 15:30:00,valley city (6.5 miles east of),nd,USA,disk,5.0,5 seconds,Two brothers observe&#44 hear&#44 three black discs streak overhead&#44 moving from SE to NW; below high overcast. 500 Lights On Object0: Ye,6/12/2008,46.9233333,-98.0027778
55656,1973-07-12 00:00:00,norwalk,ct,USA,cigar,900.0,15 min,Strange lights in Norwalk&#44 CT,5/12/2010,41.1175,-73.4083333
3822,2003-10-22 21:00:00,abingdon,va,USA,fireball,1800.0,30 minutes,Fireball reported by numerous persons in rural VA,10/31/2003,36.7097222,-81.9775
36113,2004-04-01 00:30:00,norrk&ouml;ping (sweden),,Other,light,10.0,10 seconds,Lights travelling very fast in the sky with. Faster than anything ive seen from earth.,4/27/2004,58.587745,16.192421
3602,1998-10-02 09:20:00,sedona,az,USA,fireball,300.0,5 minutes,Object like a white fireball&#44 with a short tail&#44 hovering,11/1/1998,34.8697222,-111.7602778
8107,1976-11-01 21:30:00,wilmington,de,USA,disk,120.0,2 minutes,Silent hovercraft 35-50 feet above ground with searchlights beaming down on houses makes a 90 degree turn and vanishes.,2/18/2013,39.7458333,-75.5469444
28111,2012-02-22 21:28:00,conway,ar,USA,triangle,60.0,1 minute,Three triangular shaped aircraft,3/13/2012,35.0886111,-92.4419444
32624,2013-03-20 19:00:00,new orleans,la,USA,fireball,300.0,5 minutes,It was so strange. I was outside waiting for my boyfriend to come outside. I was looking up at the sky and all of a sudden I saw a seri,5/15/2013,29.9544444,-90.075
77320,2013-09-23 20:45:00,vernal,ut,USA,fireball,10.0,10 seconds,Large green fireball over a lake.,9/30/2013,40.4555556,-109.5280556
50844,2007-06-02 01:36:00,the pas (canada),mb,Canada,other,120.0,2 minutes,T shaped upside down craft Brighter than Venus with pulsating smaller red light near rear In Manitoba.  ((NUFORC Note:  ISS??  PD)),6/12/2007,53.816667,-101.233333
54539,2011-06-09 21:30:00,indianapolis,in,USA,oval,600.0,10 min,Acorn shaped object with light on bottom,6/12/2011,39.7683333,-86.1580556
33931,2012-03-28 21:47:00,urumchi (china),,Other,formation,3000.0,50 minutes,UFO Formation and Descent near Tianshan Mountains in Urumqi&#44 China,4/18/2012,43.825592,87.616848
20113,2012-12-23 23:45:00,reykjavik (iceland),,Other,fireball,60.0,1 minutes,Sunlike sphere,2/4/2013,64.133333,-21.933333
30403,2000-03-11 19:00:00,citrus heights,ca,USA,circle,300.0,5 minutes,orange in color&#44 seem to be spinning very fast&#44 and moving at a great deal of speed&#44 and height. We have seen this before in January 20,3/16/2000,38.7072222,-121.28
17100,2002-12-11 04:00:00,sydney (nsw&#44 australia),,Other,changing,900.0,15 minutes,Four lights&#44 one approached me&#44 then retreated to group&#44 merged and then flew away.,12/23/2002,-33.861481,151.205475
47747,1999-06-01 15:30:00,woodstock,ga,USA,unknown,2.0,seconds,I was alone&#44 walking through the house&#44 when a huge sonic boom shook the house and rattled the windows so hard I thot they would shatte,9/12/1999,34.1013889,-84.5194444
64058,2011-07-09 10:35:00,owasso,ok,USA,triangle,240.0,3-4 minutes,Triangular shaped UFO passes over my house in broad daylight.,7/17/2011,36.2694444,-95.8544444
24476,1999-01-04 20:00:00,longview,tx,USA,circle,10800.0,2-3 hrs,Saw two &quot;hovering&quot; objects in the sky that had different colored lights on them.,2/16/1999,32.5005556,-94.7402778
35932,2012-04-11 21:00:00,south milwaukee,wi,USA,light,4.0,4 seconds,Green glowing object descending with a trail of white nd reddish light&#44 definatly NOT a meteor.,5/13/2012,42.9105556,-87.8605556
2307,2000-10-16 12:22:00,woodstock,ct,USA,fireball,600.0,10 minutes,((NUFORC Note:  Witness reports fireball.)),12/2/2000,41.9483333,-71.9744444
67880,1967-08-20 03:30:00,edgartown,ma,USA,sphere,120.0,1-1/2 minutes,WHITE SPHERE STOPS OVER HOUSE,10/30/2006,41.3888889,-70.5138889
69488,2001-08-25 18:25:00,martinborough (new zealand),,Other,light,300.0,5 minutes,Southern Hemisphere sighting,10/12/2001,-41.219093,175.460065
22098,2012-01-23 19:30:00,anchorage,ak,USA,sphere,120.0,2 minutes,Red lights in line formation coming over the mountains in Anchorage Alaska.,1/24/2012,61.2180556,-149.9002778
77943,1965-09-27 05:00:00,waterville,me,USA,circle,300.0,3-5 minutes,Round blue circular object hovers and dissolves in Maine.,10/7/2003,44.5519444,-69.6322222
22554,2002-01-25 20:45:00,avondale,az,USA,light,4.0,4 seconds,seven or eight white and red lights wink out starting at outer edges till it was gone.,1/29/2002,33.4355556,-112.3488889
40897,2010-04-08 22:00:00,knottingley (uk/england),,Britain,circle,120.0,2 mins,a orange circle shaped object with a moving bright flame,4/13/2010,53.7,-1.233333
27519,2005-02-20 02:00:00,quatre bornes (mauritius),,Other,other,5.0,5 secs,Looking out of the window. Saw 3 ballons glowing together&#44 passing by. Lasted 5 secs.,2/22/2005,-20.265357,57.479053
45122,2012-05-30 19:30:00,martinez,ga,USA,cigar,180.0,3 minutes,My son and I were in our backyard and saw a long&#44 cigar-shaped object with no wings&#44 sound&#44or exhaust fly through the sky like a plane.,6/5/2012,33.5172222,-82.0758333
59963,2009-07-26 03:00:00,forest groce,or,Other,changing,3.0,3 seconds,Bright green diamond changes to yellow circle then flashes and disappears,8/5/2009,45.519836,-123.110663
14991,2009-01-15 00:05:00,rockville,md,USA,sphere,120.0,2 minutes,Large&#44 floating metallic sphere with a single &#39headlight&#39 and atleast 3 red lights on its bottom-side,3/19/2009,39.0838889,-77.1530556
33934,2013-03-28 08:30:00,kelso,wa,USA,unknown,600.0,7-10 minutes,Bright Red &amp; Orange light travelling north over Columbia River in SW Washington,5/15/2013,46.1469444,-122.9072222
3672,2006-10-02 22:45:00,huntington beach,ca,USA,light,600.0,10 minutes,Large craft with two red lights hovering in sky tracked by a police helicopter for several minutes.,10/30/2006,33.6602778,-117.9983333
64033,2010-07-09 14:47:00,skykomish (nearest),wa,USA,disk,60.0,1 minute,Noticed images on enlarged digital photos only after returning from vacation.,7/28/2010,47.7094444,-121.3588889
51005,2004-06-22 22:25:00,buffalo,ny,USA,light,7.0,7 sec,I watched 2 objects fly from east to west. Much faster than the speed of commercial jets and military jets are a rarity in this area. A,6/23/2004,42.8863889,-78.8786111
5857,2005-10-31 19:30:00,australia,,Other,disk,180.0,3 minutes,Chromed disc shapped object moving irractically&#44 dissapearing/reapearing&#44 very fast to floating at times. Clear skies at dusk.,11/8/2005,-25.274398,133.775136
8681,2003-11-12 01:00:00,huber heights,oh,USA,unknown,259200.0,over 30days,The objects moved in a fasion not consistent with conventional aircraft and were completely silent.,11/26/2003,39.8438889,-84.1247222
74001,2011-09-12 23:00:00,kennedy,ny,USA,unknown,300.0,five mins,large very bright lights semed to be connected&#44 no noise vey close to my house,10/10/2011,42.1572222,-79.1022222
28908,2014-02-27 19:45:00,clayton,ga,USA,diamond,20.0,20 seconds,Mysterious Diamond Object.,3/18/2014,34.8780556,-83.4011111
24169,2003-01-31 23:00:00,farmington,ct,USA,sphere,10.0,10 seconds,Object moved slowly and extremely fast seemingly at will&#44 object lit sky up a flourescent green &quot;brighter than day&quot;&#44 object left trails,3/21/2003,41.7197222,-72.8325
74840,2003-09-15 22:30:00,north kingstown,ri,USA,formation,5.0,5 secs,I watch for satelites and this night I saw what appeared to be 3 flying in an irregular triangle formation in the Northeast sky at abou,2/22/2005,41.55,-71.4666667
28661,2005-02-26 20:30:00,fayetteville/new athens,il,Other,triangle,300.0,3-5 minutes,LARGE triangular object with  lights hovering over a field,4/16/2005,38.322655,-89.763171
56660,1978-07-15 12:00:00,mesa,az,USA,cigar,90.0,90 seconds,Huge silver cigar shaped craft glides low and slow over a populated suburban area in Mesa Az followed closely by a military fighter air,3/31/2008,33.4222222,-111.8219444
32166,2002-03-18 20:34:00,travis county,tx,USA,triangle,240.0,3-4 minutes,My friend and i saw a triangle that couldn&#39t possibly be a plane,4/8/2002,31.1352778,-97.0025
79495,1998-09-06 22:15:00,idaho falls,id,USA,other,120.0,1 to 2 minutes,Very large wedge (flying wing) with tall winglets (Looked to be about 15 to 20 feet tall)at each wing tip. There were what looked to be,5/11/2000,43.4666667,-112.0333333
47278,1980-06-01 01:00:00,calgary (canada),ab,Canada,circle,900.0,15 min,sitting in my car 20 miles outside calgary waiting for collen to change his tire on his van as i was waiting looked up in the sky at th,1/11/2002,51.083333,-114.083333
24907,2011-01-06 18:30:00,warrenton,nc,USA,chevron,1200.0,20 minutes,Bright lights and craft within a week.,1/31/2011,36.3983333,-78.1555556
42394,1991-05-15 04:05:00,sparwood (canada),bc,Other,light,360.0,5-6 minutes,I observed  three stationary interconected lights that changed intensity and made several right angle movements before moving off.,12/16/2005,49.731705,-114.887624
58510,1994-07-21 23:15:00,goshen,oh,USA,triangle,600.0,5-10 min,Triangle shaped craft on state route 28 at the Garrison Spurling rd intersection,8/12/2008,39.2333333,-84.1613889
12697,1999-11-24 20:05:00,tri-cities,wa,Other,circle,5.0,5seconds,fireball nnw of city as bright as a streetlight falling at a,11/30/1999,46.235,-119.223301
8299,2002-11-01 20:30:00,scottsdale,az,USA,fireball,15.0,15 seconds,Two Orbs Seen Over Scottsdale,11/4/2002,33.5091667,-111.8983333
26266,2008-02-13 20:15:00,safford &amp; duncan (between),az,Other,disk,900.0,over 15 minutes,Several lights appearing in spherical shape above ground between Safford&#44 AZ &amp; Duncan&#44 AZ 20:15,2/14/2008,32.724899,-109.1074
18223,1984-12-15 22:00:00,toronto (canada),on,Canada,sphere,20.0,20 seconds,yellowish sphere appears/disappears,12/2/2000,43.666667,-79.416667
36608,2001-04-14 22:15:00,gaylord,mi,USA,oval,3.0,3 seconds,Set of three and set of four &#39lights&#39 shotting east to west quickly&#44 no sound.,4/28/2001,45.0275,-84.6747222
3443,2003-10-21 20:30:00,grand blanc,mi,USA,triangle,180.0,2-3 minutes,I was driving south on Saginaw St. in Grand Blanc at about 8:30pm and I noticed a triangular thing hoovering just above the trees above,10/31/2003,42.9275,-83.63
61820,2005-07-04 00:50:00,redmond,wa,USA,flash,180.0,2-3 minutes,Single White Flashes in the sky changing positions erratically every 3-10 seconds.,7/5/2005,47.6741667,-122.1202778
23484,2003-12-08 21:30:00,myrtle beach,sc,USA,light,1800.0,30 minutes,Bright orange light lasts 3-5 seconds over ocean&#44 accompanied by multiple strobe lights,12/9/2003,33.6888889,-78.8869444
44819,2012-05-28 20:00:00,nixa,mo,USA,cylinder,45.0,30-45 seconds,I viewed a pill shaped object with no wing span moving at a high rate of speed. Covering the distance of horizon to horizon in seconds.,5/29/2012,37.0433333,-93.2941667
47295,1980-06-01 20:00:00,ladue,mo,USA,triangle,120.0,2 minutes,black triangle  with rounded corners 1980 St.Louis,12/23/2002,38.6497222,-90.3805556
63007,2012-07-05 21:42:00,new freedom,pa,USA,light,300.0,5 minutes,UFO sighting over a carnival in Southern York County&#44 Pennsylvania&#44 caught on camera.,8/5/2012,39.7377778,-76.7016667
42338,1975-05-15 13:00:00,denton,tx,USA,other,120.0,2 minutes,bright red&#44 heart shaped vehicle flying above tree tops mid-afternoon on a clear&#44 sunny day day,8/5/2009,33.2147222,-97.1327778
34739,2014-03-04 22:00:00,turlock,ca,USA,triangle,600.0,5-10 minutes,Giant Black Triangle,3/18/2014,37.4947222,-120.8455556
57350,2005-07-16 14:30:00,hudsonville,mi,USA,oval,180.0,apx 3 min,Myself and another man were standing in my front yard talking&#44 when he pointed at the sky and asked &quot;what&#39s that&quot;? Looking at the north,9/2/2005,42.8708333,-85.865
18906,2013-12-18 18:15:00,lancaster,ca,USA,cylinder,60.0,60 seconds,Hwy 14. Submarine shaped black&#44 no visible windows&#44 reflective bottom&#44 top 3/4 green fog like coloring. Made no sound&#44 did not move.  W,12/23/2013,34.6980556,-118.1358333
11337,2013-01-01 00:05:00,estero,fl,USA,teardrop,180.0,3 minutes,Red&#44 teardrop shaped object sighted minutes after midnight in Estero&#44 FL.,2/4/2013,26.4377778,-81.8069444
33065,2011-03-22 15:00:00,shaver lake,ca,USA,triangle,120.0,2 minutes,triangle black military craft.,4/3/2011,37.1041667,-119.3166667
15622,2004-11-07 00:00:00,whitesboro,tx,USA,light,1200.0,20 minutes,Rotating Lights in the sky,11/9/2004,33.6561111,-96.9066667
69068,2008-08-23 11:00:00,gaylord,mi,USA,light,2700.0,45 min.,Bright moving object in the night sky in Otsego County&#44 Michigan,10/31/2008,45.0275,-84.6747222
65023,2002-08-01 00:45:00,columbus,oh,USA,circle,4.0,1/4 second,Shooting ball of brilliant white light,8/16/2002,39.9611111,-82.9988889
15994,2003-11-08 20:10:00,newington,ct,USA,other,20.0,20 seconds,I was in my backyard viewing the lunar eclipse when i noticed 15 objects flying just below the lunar eclipse at about 8:10pm&#44 they were,11/11/2003,41.6977778,-72.7241667
38816,2004-04-24 01:30:00,tinley park,il,USA,light,300.0,3 -5 minutes,Red Light Hovering Motionless In the Sky,4/27/2004,41.5733333,-87.7844444
37801,2012-04-19 19:45:00,las vegas,nv,USA,light,900.0,15 minutes,Intermittent bright red and white stationary lights and super high speed &quot;streak&quot; of light over mountains&#44 north of Las Vegas,5/13/2012,36.175,-115.1363889
28457,2013-02-24 18:00:00,marion,in,USA,cigar,900.0,5-15 minutes,Starlike light&#44 orange lights.,2/28/2013,40.5583333,-85.6591667
58488,2013-07-20 22:00:00,west point,ca,Other,oval,120.0,1-2 minutes,Oval UFO seen in Calaveras County July 20 2013.,7/22/2013,37.320722,-119.565078
8219,2000-11-01 20:00:00,union,nj,USA,light,360.0,5-6 min,U.F.O or a wandering star?,12/2/2000,40.6975,-74.2636111
9635,2011-11-15 21:30:00,watertown,ny,USA,triangle,60.0,1 minute,Black triangular object scene in Watertown New York.,8/30/2013,43.9747222,-75.9111111
41170,1994-05-10 21:24:00,frankfort,mi,Other,unknown,1800.0,30 minutes,Large flashing light extending down from sky to lake Michigan.,1/28/1999,44.63361,-86.23454
67532,2012-08-18 06:52:00,cameron,mo,USA,circle,60.0,1 minute,Highly Reflective Object Vanishing in Clear Sky,8/19/2012,39.7402778,-94.2408333
57920,2012-07-18 09:20:00,east northport,ny,USA,rectangle,12.0,4-12 seconds,UFO een and briefly captured,8/5/2012,40.8766667,-73.325
46176,1999-05-08 10:12:00,santa ana,ca,USA,changing,1200.0,20 minutes,Time of day - 10:12am   No clouds.  No wind.  5/8/99  Santa Ana&#44 Ca. I was on my way to the local stripmall to get an early lunch.  Bei,5/24/1999,33.7455556,-117.8669444
31418,2012-03-14 23:00:00,anaconda,mt,USA,triangle,300.0,5 minutes,Something Triangle shape with red and white lights circling the ground,3/16/2012,46.1286111,-112.9413889
44561,2000-05-27 00:30:00,cancun (mexico),,Other,cigar,180.0,2-3 minutes,WAS SITTING ON THE BEACH AND STARGAZING WHEN I SEEN A SHOOTONG STAR OR THOUGHT IT WAS I DIDN&#39T NOTICE ANY LIGHTS JUST THAT IT WAS MOVIN,9/19/2002,21.161908,-86.851528
74288,1996-09-14 20:30:00,smithville,nj,USA,disk,5.0,5 seconds,Large craft hovers over car. witnessed by 4 individuals in two seperate locations&#33,11/20/2001,39.4938889,-74.4575
74385,2008-09-14 10:50:00,tumwater,wa,USA,sphere,120.0,2 minutes,A bright white sphere with ocassional streamers flew across the clear blue sky toward the Black Hills.,10/31/2008,47.0075,-122.9080556
36869,1996-04-15 05:13:00,bakersfield,ca,USA,,4.0,4 sec.,Reporter calls re multiple repts. of bright obj. streaking over Bakersfield.  Writes article.  (MANY other repts. after article.),11/2/1999,35.3733333,-119.0177778
65005,2001-08-01 00:20:00,evart,mi,USA,fireball,9.0,7 - 9  seconds,Green fireball  travelling south to north in mid Michigan.,8/5/2001,43.9005556,-85.2580556
79732,2002-09-07 22:10:00,bridgewater,ma,USA,unknown,60.0,60 seconds,Three bright objects move across the sky in formation then dissapear.,9/13/2002,41.9902778,-70.9755556
12670,2013-11-23 21:45:00,palm habor,fl,Other,sphere,240.0,4 minutes,Silent Orange sphere.,12/2/2013,28.078072,-82.763713
24719,2004-01-05 19:00:00,maui,hi,Other,other,600.0,10 minutes,Orange&#44 glowing&#44 silent&#44 low-altitude&#44 slow-moving orb in Hawaiian night sky.,1/17/2004,20.798363,-156.331925
40374,2008-04-05 01:15:00,green bay,wi,USA,triangle,6.0,6 seconds,I was talking on the cell phone observing the sky and notice a very clear sky when all of sudden there were 9 bright orange lights form,6/12/2008,44.5191667,-88.0197222
46081,2006-05-07 22:50:00,springhill (canada),ns,Canada,light,420.0,5-7 minutes,Shapeshifting light seen by 2 teenagers at night,9/24/2012,45.633333,-64.05
62055,2010-07-04 00:00:00,hazelwood (st. louis),mo,USA,light,45.0,45 sec,Brilliant red ball descends on top of  group and flys away on the edge of  Missouri River Valley,7/28/2010,38.7713889,-90.3708333
66895,1995-08-16 21:30:00,aurora,il,USA,triangle,300.0,5 minutes,A slow moving craft in triangular shape at about 100 to 200 feet altitude. A series of 3 lights in a trianbular shape under the craft.,2/16/1999,41.7605556,-88.32
77083,2013-09-22 21:25:00,healdsburg,ca,USA,unknown,120.0,2 minutes,This was a startling experience for both of us&#33,9/30/2013,38.6105556,-122.8680556
2667,2013-10-17 01:00:00,cornwall (canada),on,Canada,other,180.0,3 minutes,freek me out ?,1/16/2014,46.24,-63.21
50387,2002-06-20 23:15:00,port angeles,wa,USA,fireball,2100.0,35 minutes,It was a bright circular object with mullti-colored llights in the center in the western sky over the Straits of Juan de Fuca,7/1/2002,48.1183333,-123.4294444
43631,2011-05-21 20:51:00,orland,me,USA,circle,900.0,15 mins,I was driving home and saw two light objects low under clouds moving very slowly; then saw six others come out of the clouds.,5/29/2011,44.5702778,-68.7363889
33074,2012-03-22 07:45:00,houston,tx,USA,circle,900.0,15 min+,4 jets circling a mysterious object,5/13/2012,29.7630556,-95.3630556
55199,1976-07-01 20:00:00,lompoc,ca,USA,circle,120.0,2 minutes,A 2.5 foot diameter disc shaped ufo disguised as the full moon suddenly moves to within inches of my face. 500 Lights On Object0: Y,3/19/2009,34.6391667,-120.4569444
28632,2000-02-26 06:29:00,tonawanda,ny,USA,egg,60.0,1 minute,Orange egg shaped object traveling upward at 3 rates of speed and breaking the atmosphere or disintegrating-followed by a black triangu,2/27/2000,43.0202778,-78.8805556
65592,2013-08-12 22:25:00,stevensville,mi,USA,light,180.0,3 minutes,Bright green light,8/30/2013,42.0144444,-86.5194444
38368,2012-04-02 02:40:00,lodi,ca,USA,fireball,4.0,2-4 seconds,Fireball/orange like object spotted&#33 Lodi&#44 CA,4/18/2012,38.1302778,-121.2713889
74549,1967-09-15 00:00:00,cedar point,ks,USA,light,300.0,5 minutes,It is interesting to me tht I&#39ve had three encounters. 500 Lights On Object0: Yes,8/12/2008,38.26,-96.8194444
5042,2002-10-28 22:00:00,kuala lumpur (malaysia),,Other,fireball,900.0,15 minute,it was a red light fire ball that move slowly through the city in malaysia,12/23/2002,3.139003,101.686855
61183,2012-07-31 23:15:00,cape girardeau,mo,USA,diamond,1425.0,23:45,3 Multi-colored possibly diamond shaped UFOs,8/5/2012,37.3058333,-89.5180556
4358,2012-10-24 00:00:00,melbourne beach,fl,USA,flash,900.0,15 minutes,I saw three flashing lights in the sky over Melbourne Beach.  They moved erratically and kept flashing the whole time that I saw them.,10/30/2012,28.0680556,-80.5605556
9770,1999-11-16 18:20:00,gallatin,tn,USA,fireball,30.0,30 sec (approx),Green fireball - west to east flight - low on northern horizon - appeared to be color of burning copper - unable to gauge speed (no dis,11/17/1999,36.3883333,-86.4466667
53384,2010-06-03 23:30:00,ottawa (canada),on,Canada,other,82800000.0,23000hrs,((HOAX??))  I was out in a field near mil&#44 base heard a sounds &amp; it sounded like a motor starting up.,7/6/2010,45.416667,-75.7
26223,2003-02-13 19:30:00,columbia,sc,USA,unknown,60.0,1 minute,The three craft where flying with very little sound&#44  low and slow.,5/13/2003,34.0005556,-81.035
21626,2011-12-31 18:45:00,moore,sc,USA,diamond,120.0,2 minutes,Bright glowing object appearing as if it was on fire moving slowly and very low in the sky,1/12/2012,34.8333333,-81.9922222
26800,2012-02-15 22:38:00,sacramento,ca,USA,disk,3.0,3 seconds or less,The flying object caught my attention because it was so beautifu&#44 it flew so fast the I only saw it for about 3 seconds.,3/13/2012,38.5816667,-121.4933333
12312,2003-11-22 21:00:00,n. ridgeville,oh,Other,cigar,2400.0,40 minutes,Huge white cigar shaped craft hovered in my front yard for an extended period of time.,12/9/2003,41.389491,-82.019032
31504,1990-03-15 22:00:00,los altos,ca,USA,unknown,300.0,@ 5 minutes,a grouping of white lights surrounded by haze&#44 floodlight shining down&#44 no sound,8/5/2009,37.3852778,-122.1130556
14445,2006-11-04 22:30:00,selah,wa,USA,circle,1200.0,20 min,stars on parade?,12/7/2006,46.6541667,-120.5288889
27606,2012-02-20 17:10:00,pasco,wa,USA,unknown,600.0,10 minutes,Large dark mass hovering near Pasco&#44 WA airport.,3/13/2012,46.2397222,-119.0994444
11341,2013-01-01 00:07:00,bristol,pa,USA,oval,420.0,7:00 minutes,Multiple clusters of strange orbs traveling at a medium speed over Bristol midnight New Years Eve.,2/4/2013,40.1005556,-74.8522222
36641,2005-04-14 23:49:00,phoenix,az,USA,light,8.0,7 or 8 seconds,fast flying &quot;light/ball&quot; flying over tempe and phoenix arizona.,4/16/2005,33.4483333,-112.0733333
37096,2014-04-15 00:00:00,portland,or,USA,sphere,60.0,1 minute,Sphere - Multiple Colors - Sporadic Movement - During Lunar Eclipse.,4/18/2014,45.5236111,-122.675
6877,2003-10-07 01:30:00,perth (western australia),,Other,triangle,1.0,1 second,1 mile away on the other side of the Canning River at 1:30am,10/31/2003,-31.95224,115.861397
306,1999-10-11 07:40:00,three rivers,mi,USA,oval,600.0,10minuets,While dirving to work this monday morning the 11th of October I spotted two jets flying toward the horizion. Becouse of the rising sun,10/19/1999,41.9438889,-85.6325
59395,2001-07-24 22:00:00,buckeye (outside),az,USA,light,300.0,5 minutes,Near Palo Verde Nuclear Power Station&#44 lights seen moving around into a triangular-shaped formation.,8/5/2001,33.3702778,-112.5830556
58515,1997-07-21 02:00:00,london (uk/england),,Britain,fireball,10.0,10 seconds,Very high up&#44 and shot across the sky&#44 performing and small zig-zag then shooting off,1/28/1999,51.514125,-0.093689
76819,1995-09-22 23:30:00,lake charles,la,USA,,180.0,3 min.,Man &amp; son witness 3 bright&#44 &quot;neon red&quot; objects flying overhead in tandem formation.  Objs. suddenly maneuver to form triangle.,11/2/1999,30.2263889,-93.2172222
53446,1998-06-04 08:30:00,chicago (downtown),il,USA,sphere,180.0,2 to 3 min.,i was taking my kids to school in the morning&#44i was on highway 290 heading east when i noticed a shining chrome like object in the sky&#33,9/19/2002,41.85,-87.65
50648,2005-06-21 08:45:00,eagle rock,ca,USA,disk,30.0,30 secondes,Mirror-like&#44 saucer/disc shaped object,7/5/2005,34.1388889,-118.2130556
45322,2004-05-03 05:57:00,hayward,ca,USA,oval,300.0,5 minutes,Oval object with a rotating tethered object in the middle&#44 observerd Oval blow up,5/4/2004,37.6688889,-122.0797222
35487,2004-03-09 19:00:00,shelby,oh,USA,light,10800.0,3 hours,Bright white changed to yellow-orange light moving very fast several lights around it followed by a very low shooting star.,3/17/2004,40.8813889,-82.6619444
2614,2009-10-17 19:35:00,lubbock,tx,USA,light,600.0,8-10minutes,I was comming out of the hospital after an emergency visit for my son. Upon leaving the hospital I noticed a ball of light in the sky.,12/12/2009,33.5777778,-101.8547222
4807,2013-10-26 19:00:00,kagawong (canada),on,Canada,sphere,3600.0,1 hour,Bright sphere South/western  sky  Manitoulin Island for 1 hour and then suddenly disappeared.,11/11/2013,45.9,-82.25
51911,2004-06-26 22:00:00,acton (canada),on,Canada,fireball,120.0,1-2 minute,3 lights heading east over lake ontario in a formation shape did not burn out  ((NUFORC Note:  Possible NOSS satellites.  PD)),7/8/2004,43.633333,-80.033333
5548,2008-10-30 17:30:00,mesa,az,USA,formation,2400.0,40 min,4 Orbs over Mesa&#44 Arizona seen by at least three witnesses.,10/31/2008,33.4222222,-111.8219444
41904,2006-05-12 20:33:00,bois d&#39arc,mo,USA,sphere,3600.0,1 hour,Brilliant light seen from more than 60 miles away.  ((NUFORC Note:  Probable sighting of Jupiter&#44 which is in the E sky now.  PD)),7/16/2006,37.2563889,-93.5075
30187,1998-03-10 19:00:00,columbia,sc,USA,diamond,300.0,5 minutes,Brightly lighted craft hovering over us on Interstate 26.  Had lights shining down from the craft as well as lights shining up into the,3/19/2002,34.0005556,-81.035
28699,2010-02-26 06:00:00,keaau,hi,USA,sphere,10.0,10 seconds,BRIGHT GREEN SPHERE-BALL SHAPED OBJECT,4/13/2010,19.6255556,-155.0416667
59396,2001-07-24 23:00:00,hamilton (canada),on,Canada,disk,60.0,1min.,ufo spotted over hamilton,8/5/2001,43.25,-79.833333
63621,2012-07-07 02:00:00,el centro,ca,USA,cigar,20.0,20 seconds,UFO acted as a vehicle.,8/5/2012,32.7919444,-115.5622222
26031,1969-02-12 23:30:00,wildflecken (germany),,Germany,cigar,300.0,5 min.,During a training excerise @ the US Army training center @ Wildflecken &#44germany;at appx. 23:30 hours&#44 at an elevation appx.8k ft. alt.,3/6/2001,50.366667,9.916667
79100,2003-09-04 21:40:00,sedro-woolley,wa,USA,flash,60.0,1 minute,At approximately 21:40 hours&#44 saw a BRIGHT flashing light almost directly overhead in the area of the top of the northern cross&#44 which,9/9/2003,48.5038889,-122.2361111
10622,2001-11-19 02:30:00,portland,or,USA,triangle,300.0,5 minutes,Triangle shaped object drops from sky during meteor shower...possible abduction.,12/5/2001,45.5236111,-122.675
47602,1995-06-01 20:00:00,methuen,ma,USA,oval,60.0,1 minute,A large yellow football shaped figure moving rapidly in sky in a horizontal movement. Very large. I saw it for about a minute. There wa,1/28/1999,42.7261111,-71.1913889
75637,2012-09-18 03:30:00,danville,ca,USA,disk,6.0,6 seconds,Near miss.,12/20/2012,37.8216667,-121.9988889
79073,1999-09-04 22:30:00,nashville,tn,USA,light,6.0,6 seconds,I had walked out back and looked up at the sky and a golden light was moving slowly across the sky.  There were no flashing lights so I,10/2/1999,36.1658333,-86.7844444
41742,2010-05-01 06:00:00,fruitland,id,USA,triangle,300.0,5 minutes,Triangular shaped something hovering over a dairy farm.,2/18/2011,44.0077778,-116.9155556
63647,2012-07-07 22:20:00,fairfield,oh,USA,fireball,1200.0,20 minutes,Orange orbs rise and hover before disappearing.,8/5/2012,39.3458333,-84.5605556
8684,2003-11-12 09:30:00,tomball,tx,USA,triangle,60.0,1 minute,v shaped almost triangles moving across the sky,11/26/2003,30.0969444,-95.6158333
62245,2010-07-04 23:15:00,broken arrow,ok,USA,fireball,180.0,3 min,possible ufo sighting,7/6/2010,36.0525,-95.7905556
